#Coincident events which overlap by the sum of both gatelengths.
Ch0 time/s;(time ch.0 - time ch.1)/ns;energy ch.0;energy ch.1
4.2190600528322;72.02819107282694;119;33
4.372760669222972;-185.6038934025059;32555;1837
7.584576970463612;220.89895751761944;77;64
8.805016523732748;-109.35530050900549;147;146
9.137200181093384;-44.20480129209084;168;135
9.351438373157793;-256.600430696946;1428;24
10.726006244152984;-209.4257170125294;6;31
10.89798554340832;-218.89817443226315;1435;549
11.357052516620438;-162.65741239232577;32541;136
11.41415506536083;23.63425019577134;103;107
12.230225430740505;-125.79923649177762;135;64
12.682509023071532;9.910128719655443;25228;1865
12.793137942999216;-8.815950469851215;307;38
12.903486242813907;99.75779414643696;332;29
13.133988158702953;-91.91097298355521;174;142
13.872420943960455;-129.05050900548162;313;48
13.992503372485256;-90.56669684808145;104;82
13.994795118919342;-36.82691366483947;257;21
14.862933867251371;-163.2826571064996;253;50
14.99343945375881;-188.07361002349256;142;29
15.342231195160535;-122.04776820673455;389;20
15.572972777571273;-182.6652432458888;199;4
15.984103002596722;26.41658917384495;240;48
16.41599203246152;-38.671385571652316;106;60
16.61078651383804;164.5331465348473;53;38
17.024516649190915;-136.02198756852;911;321
17.5413722139971;85.75231254894284;41;28
17.621491253148616;38.3275009788567;243;77
17.97573682243344;-149.05833985904465;109;6
18.541242614424434;-172.06734534064213;93;43
18.71129598217178;-140.7113229248238;264;145
19.27036021935004;196.0767423649178;35;97
19.58276611971809;120.04698512137824;7;6
20.181730325978855;-62.024275646045425;115;206
20.29220341898003;-65.02545027407989;81;54
20.442028501121403;-129.925851605325;310;41
20.620518749849804;-122.39165279953016;261;66
20.703198318165377;-89.1598962411903;96;44
21.345551515293657;-208.67542335552076;335;31
21.42974079608849;-206.0806577916993;153;27
21.564911702552862;-21.352106989036805;226;31
21.74855213747847;248.0971025841817;37;5
21.867329739089055;-185.38505775254504;9;6
22.94755073016971;-170.1916111981206;230;4
23.025035669237287;-126.98720144870792;301;45
24.280113382078543;-158.34322386452624;4;4
24.78591819911383;-195.42023541503525;270;40
24.977488569576156;-64.52525450274081;126;159
25.115056543727487;-32.012529365700864;251;28
25.66900099438791;-133.39595976898983;145;34
26.63923117457126;179.07008613938922;45;45
27.518673577721835;-176.56910728269384;298;5
28.242217264949957;-179.63280638214567;118;174
28.690696312128463;-173.34909700469854;777;617
28.80228268907596;-122.73553739232577;316;58
29.005623922685984;-136.05324980422867;139;23
29.25162346430697;-24.00939702427565;10;6
29.4218925758379;132.7081905833986;106;135
29.78364314450017;-155.37331147220047;247;23
30.064119787656864;-187.6359387235709;149;6
30.162428239671108;8.003132341425216;264;37
30.268871092278783;-80.03132341425216;281;64
30.879321596155055;-94.3494273688332;351;26
