TRACING ASCII File
Created by MP-OS program
COMMENT
 
HEADER
Start at: 	16-12-21 11:46 AM
Timebase: 	0.5 sec.
Operator: 	ME            90° Magnet
Operator units: 	A
Monitor1: 	FC7a         ME Moveable
Monitor1 units: 	% f.s.
 
 
 
 
 
 
 
 
DATA
O setting 	M1 reading 	
73.809 	0.00	 
73.859 	0.00	 
73.909 	0.00	 
73.959 	0.00	 
74.009 	0.00	 
74.059 	0.00	 
74.109 	0.00	 
74.159 	0.00	 
74.209 	0.00	 
74.259 	0.00	 
74.309 	0.00	 
74.359 	0.00	 
74.409 	0.00	 
74.459 	2.34	 
74.509 	3.49	 
74.559 	3.54	 
74.609 	3.54	 
74.659 	0.07	 
74.709 	0.00	 
74.759 	0.00	 
74.809 	0.00	 
74.859 	0.00	 
74.909 	0.00	 
74.959 	0.00	 
75.009 	0.00	 
75.059 	0.00	 
75.109 	0.00	 
75.159 	0.00	 
75.210 	0.00	 
75.260 	0.00	 
75.310 	0.00	 
75.360 	0.00	 
75.410 	0.00	 
75.460 	0.00	 
75.510 	0.00	 
75.560 	0.00	 
75.610 	0.00	 
75.660 	0.00	 
75.710 	0.00	 
75.760 	0.00	 
75.810 	0.00	 
75.860 	0.00	 
75.910 	0.00	 
75.960 	0.00	 
76.010 	0.00	 
76.060 	0.00	 
76.110 	0.00	 
76.160 	0.00	 
76.210 	0.00	 
76.260 	0.00	 
76.310 	0.00	 
76.360 	0.00	 
76.410 	0.00	 
76.460 	0.00	 
76.510 	0.00	 
76.560 	0.00	 
76.610 	0.00	 
76.660 	0.00	 
76.710 	0.00	 
76.760 	0.00	 
76.811 	0.00	 
76.861 	0.00	 
76.911 	0.00	 
76.961 	0.00	 
77.011 	0.00	 
77.061 	0.00	 
77.111 	0.00	 
77.161 	0.00	 
77.211 	0.00	 
77.261 	0.00	 
77.311 	0.00	 
77.361 	0.00	 
77.411 	0.00	 
77.461 	0.00	 
77.511 	0.00	 
77.561 	0.00	 
77.611 	0.00	 
77.661 	0.00	 
77.711 	0.00	 
77.761 	0.00	 
77.811 	0.00	 
77.861 	0.00	 
77.911 	0.00	 
77.961 	0.00	 
78.011 	0.00	 
78.061 	0.00	 
78.111 	0.00	 
78.161 	0.00	 
78.211 	0.00	 
78.261 	0.00	 
78.311 	0.00	 
78.361 	0.00	 
78.412 	0.00	 
78.462 	0.00	 
78.512 	0.00	 
78.562 	0.00	 
78.612 	0.00	 
78.662 	0.00	 
78.712 	0.00	 
78.762 	0.00	 
78.812 	0.00	 
78.862 	0.00	 
78.912 	0.00	 
78.962 	0.00	 
79.012 	0.00	 
79.062 	0.00	 
79.112 	0.00	 
79.162 	0.00	 
79.212 	0.00	 
79.262 	0.00	 
79.312 	0.00	 
79.362 	0.00	 
79.412 	0.00	 
79.462 	0.00	 
79.512 	0.00	 
79.562 	0.00	 
79.612 	0.00	 
79.662 	0.00	 
79.712 	0.00	 
79.762 	0.00	 
79.812 	0.00	 
79.862 	0.00	 
79.912 	0.00	 
79.962 	0.00	 
80.013 	0.00	 
80.063 	0.00	 
80.113 	0.00	 
80.163 	0.00	 
80.213 	0.00	 
80.263 	0.00	 
80.313 	0.00	 
80.363 	0.00	 
80.413 	0.00	 
80.463 	0.00	 
80.513 	0.00	 
80.563 	0.00	 
80.613 	0.00	 
80.663 	0.00	 
80.713 	0.00	 
80.763 	0.00	 
80.813 	0.00	 
80.863 	0.00	 
80.913 	0.00	 
80.963 	0.00	 
81.013 	0.00	 
81.063 	0.00	 
81.113 	0.00	 
81.163 	0.00	 
81.213 	0.00	 
81.263 	0.00	 
81.313 	0.00	 
81.363 	0.00	 
81.413 	0.00	 
81.463 	0.00	 
81.513 	0.00	 
81.563 	0.00	 
81.614 	0.00	 
81.664 	0.00	 
81.714 	0.00	 
81.764 	0.00	 
81.814 	0.00	 
81.864 	0.00	 
81.914 	0.00	 
81.964 	0.00	 
82.014 	0.00	 
82.064 	0.00	 
82.114 	0.00	 
82.164 	0.00	 
82.214 	0.00	 
82.264 	0.00	 
82.314 	0.00	 
82.364 	0.00	 
82.414 	0.00	 
82.464 	0.00	 
82.514 	0.00	 
82.564 	0.00	 
82.614 	0.00	 
82.664 	0.00	 
82.714 	0.00	 
82.764 	0.00	 
82.814 	0.00	 
82.864 	0.00	 
82.914 	0.00	 
82.964 	0.00	 
83.014 	0.00	 
83.064 	0.00	 
83.114 	0.00	 
83.164 	0.00	 
83.215 	0.00	 
83.265 	0.00	 
83.315 	0.00	 
83.365 	0.00	 
83.415 	0.00	 
83.465 	0.00	 
83.515 	0.00	 
83.565 	0.00	 
83.615 	0.00	 
83.665 	0.00	 
83.715 	0.00	 
83.765 	0.00	 
83.815 	0.00	 
83.865 	0.00	 
83.915 	0.00	 
83.965 	0.00	 
84.015 	0.00	 
84.065 	0.00	 
84.115 	0.00	 
84.165 	0.00	 
84.215 	0.00	 
84.265 	0.00	 
84.315 	0.00	 
84.365 	0.00	 
84.415 	0.00	 
84.465 	0.00	 
84.515 	0.00	 
84.565 	0.00	 
84.615 	0.00	 
84.665 	11.43	 
84.715 	12.65	 
84.765 	12.65	 
84.816 	12.70	 
84.866 	6.15	 
84.916 	0.56	 
84.966 	0.00	 
85.016 	0.00	 
85.066 	0.00	 
85.116 	0.00	 
85.166 	0.00	 
85.216 	0.00	 
85.266 	0.00	 
85.316 	0.00	 
85.366 	0.00	 
85.416 	0.00	 
85.466 	0.00	 
85.516 	0.00	 
85.566 	0.00	 
85.616 	0.00	 
85.666 	0.00	 
85.716 	0.00	 
85.766 	0.00	 
85.816 	0.00	 
85.866 	0.00	 
85.916 	0.00	 
85.966 	0.00	 
86.016 	0.00	 
86.066 	0.00	 
86.116 	0.00	 
86.166 	0.00	 
86.216 	0.00	 
86.266 	0.00	 
86.316 	0.00	 
86.366 	0.00	 
86.417 	0.00	 
86.467 	0.00	 
86.517 	0.00	 
86.567 	0.00	 
86.617 	0.00	 
86.667 	0.00	 
86.717 	0.00	 
86.767 	0.00	 
86.817 	0.00	 
86.867 	0.00	 
86.917 	0.00	 
86.967 	0.00	 
87.017 	0.00	 
87.067 	0.00	 
87.117 	0.00	 
87.167 	0.00	 
87.217 	0.00	 
87.267 	0.00	 
87.317 	0.00	 
87.367 	0.00	 
87.417 	0.00	 
87.467 	0.00	 
87.517 	0.00	 
87.567 	0.00	 
87.617 	0.00	 
87.667 	0.00	 
87.717 	0.00	 
87.767 	0.00	 
87.817 	0.00	 
87.867 	0.00	 
87.917 	0.00	 
87.967 	0.00	 
88.018 	0.00	 
88.068 	0.00	 
88.118 	0.00	 
88.168 	0.00	 
