TRACING ASCII File
Created by MP-OS program
COMMENT
 
HEADER
Start at: 	16-12-21 11:04 AM
Timebase: 	1 sec.
Operator: 	BI                  90° Magnet
Operator units: 	A
Monitor1: 	Current Converter
Monitor1 units: 	A
 
 
 
 
 
 
 
 
DATA
O setting 	M1 reading 	Cur Conv Target 	Cur Conv Settings 	
50.323 	-7.570e-011	 FC5 Qsnout	 48644	 
50.423 	9.990e+002	 FC5 Qsnout	 65028	 
50.523 	9.990e+002	 FC5 Qsnout	 64772	 
50.624 	-6.664e-008	 FC5 Qsnout	 48388	 
50.724 	-1.753e-008	 FC5 Qsnout	 48388	 
50.824 	-3.687e-010	 FC5 Qsnout	 48644	 
50.924 	4.396e-011	 FC5 Qsnout	 15876	 
51.025 	0.000e+000	 FC5 Qsnout	 15876	 
51.125 	0.000e+000	 FC5 Qsnout	 15876	 
51.225 	0.000e+000	 FC5 Qsnout	 15876	 
51.325 	0.000e+000	 FC5 Qsnout	 15876	 
51.425 	0.000e+000	 FC5 Qsnout	 15876	 
51.526 	0.000e+000	 FC5 Qsnout	 15876	 
51.626 	0.000e+000	 FC5 Qsnout	 15876	 
51.726 	0.000e+000	 FC5 Qsnout	 15876	 
51.826 	-3.319e-009	 FC5 Qsnout	 48644	 
51.927 	9.990e+002	 FC5 Qsnout	 65028	 
52.027 	-8.388e-008	 FC5 Qsnout	 48388	 
52.127 	-5.626e-008	 FC5 Qsnout	 48388	 
52.227 	-1.358e-008	 FC5 Qsnout	 48388	 
52.327 	-6.984e-010	 FC5 Qsnout	 48644	 
52.428 	5.617e-011	 FC5 Qsnout	 15876	 
52.528 	0.000e+000	 FC5 Qsnout	 15876	 
52.628 	0.000e+000	 FC5 Qsnout	 15876	 
52.728 	0.000e+000	 FC5 Qsnout	 15876	 
52.829 	0.000e+000	 FC5 Qsnout	 15876	 
52.929 	0.000e+000	 FC5 Qsnout	 15876	 
53.029 	0.000e+000	 FC5 Qsnout	 15876	 
53.129 	0.000e+000	 FC5 Qsnout	 15876	 
53.229 	0.000e+000	 FC5 Qsnout	 15876	 
53.330 	-1.810e-009	 FC5 Qsnout	 48644	 
53.430 	-4.523e-009	 FC5 Qsnout	 48644	 
53.530 	-4.523e-009	 FC5 Qsnout	 48644	 
53.630 	-1.482e-009	 FC5 Qsnout	 48644	 
53.731 	3.419e-011	 FC5 Qsnout	 15876	 
53.831 	0.000e+000	 FC5 Qsnout	 15876	 
53.931 	0.000e+000	 FC5 Qsnout	 15876	 
54.031 	0.000e+000	 FC5 Qsnout	 15876	 
54.131 	0.000e+000	 FC5 Qsnout	 15876	 
54.232 	0.000e+000	 FC5 Qsnout	 15876	 
54.332 	0.000e+000	 FC5 Qsnout	 15876	 
54.432 	2.442e-012	 FC5 Qsnout	 15876	 
54.532 	4.884e-012	 FC5 Qsnout	 15876	 
54.633 	4.884e-012	 FC5 Qsnout	 15876	 
54.733 	7.326e-012	 FC5 Qsnout	 15876	 
54.833 	9.768e-012	 FC5 Qsnout	 15876	 
54.933 	7.326e-012	 FC5 Qsnout	 15876	 
55.033 	9.768e-012	 FC5 Qsnout	 15876	 
55.134 	7.326e-012	 FC5 Qsnout	 15876	 
55.234 	7.326e-012	 FC5 Qsnout	 15876	 
55.334 	4.884e-012	 FC5 Qsnout	 15876	 
55.434 	7.326e-012	 FC5 Qsnout	 15876	 
55.535 	2.442e-012	 FC5 Qsnout	 15876	 
55.635 	0.000e+000	 FC5 Qsnout	 15876	 
55.735 	0.000e+000	 FC5 Qsnout	 15876	 
55.835 	0.000e+000	 FC5 Qsnout	 15876	 
55.935 	0.000e+000	 FC5 Qsnout	 15876	 
56.036 	0.000e+000	 FC5 Qsnout	 15876	 
56.136 	-2.576e-009	 FC5 Qsnout	 48644	 
56.236 	-3.983e-009	 FC5 Qsnout	 48644	 
56.336 	-3.333e-009	 FC5 Qsnout	 48644	 
56.437 	-7.961e-010	 FC5 Qsnout	 48644	 
56.537 	0.000e+000	 FC5 Qsnout	 15876	 
56.637 	0.000e+000	 FC5 Qsnout	 15876	 
56.737 	0.000e+000	 FC5 Qsnout	 15876	 
56.837 	0.000e+000	 FC5 Qsnout	 15876	 
56.938 	0.000e+000	 FC5 Qsnout	 15876	 
57.038 	0.000e+000	 FC5 Qsnout	 15876	 
57.138 	0.000e+000	 FC5 Qsnout	 15876	 
57.238 	0.000e+000	 FC5 Qsnout	 15876	 
57.339 	0.000e+000	 FC5 Qsnout	 15876	 
57.439 	0.000e+000	 FC5 Qsnout	 15876	 
57.539 	0.000e+000	 FC5 Qsnout	 15876	 
57.639 	0.000e+000	 FC5 Qsnout	 15876	 
57.739 	0.000e+000	 FC5 Qsnout	 15876	 
57.840 	0.000e+000	 FC5 Qsnout	 15876	 
57.940 	0.000e+000	 FC5 Qsnout	 15876	 
58.040 	0.000e+000	 FC5 Qsnout	 15876	 
58.140 	0.000e+000	 FC5 Qsnout	 15876	 
58.241 	0.000e+000	 FC5 Qsnout	 15876	 
58.341 	0.000e+000	 FC5 Qsnout	 15876	 
58.441 	0.000e+000	 FC5 Qsnout	 15876	 
58.541 	0.000e+000	 FC5 Qsnout	 15876	 
58.641 	0.000e+000	 FC5 Qsnout	 15876	 
58.742 	-2.491e-010	 FC5 Qsnout	 48644	 
58.842 	-4.078e-010	 FC5 Qsnout	 48644	 
58.942 	-4.005e-010	 FC5 Qsnout	 48644	 
59.042 	0.000e+000	 FC5 Qsnout	 15876	 
59.143 	0.000e+000	 FC5 Qsnout	 15876	 
59.243 	0.000e+000	 FC5 Qsnout	 15876	 
59.343 	0.000e+000	 FC5 Qsnout	 15876	 
59.443 	0.000e+000	 FC5 Qsnout	 15876	 
59.543 	0.000e+000	 FC5 Qsnout	 15876	 
59.644 	0.000e+000	 FC5 Qsnout	 15876	 
59.744 	0.000e+000	 FC5 Qsnout	 15876	 
59.844 	-9.956e-009	 FC5 Qsnout	 48644	 
59.944 	9.990e+002	 FC5 Qsnout	 64772	 
60.045 	9.990e+002	 FC5 Qsnout	 64772	 
60.145 	-2.926e-007	 FC5 Qsnout	 48132	 
60.245 	-1.011e-007	 FC5 Qsnout	 48132	 
60.345 	-1.319e-009	 FC5 Qsnout	 48388	 
60.445 	2.442e-011	 FC5 Qsnout	 15876	 
60.546 	0.000e+000	 FC5 Qsnout	 15876	 
60.646 	0.000e+000	 FC5 Qsnout	 15876	 
60.746 	0.000e+000	 FC5 Qsnout	 15876	 
60.846 	0.000e+000	 FC5 Qsnout	 15876	 
60.947 	0.000e+000	 FC5 Qsnout	 15876	 
61.047 	-3.534e-009	 FC5 Qsnout	 48644	 
61.147 	9.990e+002	 FC5 Qsnout	 64772	 
61.247 	9.990e+002	 FC5 Qsnout	 64516	 
61.347 	-6.527e-006	 FC5 Qsnout	 47876	 
61.448 	-2.440e-006	 FC5 Qsnout	 47876	 
61.548 	-2.188e-007	 FC5 Qsnout	 48132	 
61.648 	4.396e-010	 FC5 Qsnout	 15620	 
61.748 	0.000e+000	 FC5 Qsnout	 15620	 
61.849 	0.000e+000	 FC5 Qsnout	 15876	 
61.949 	0.000e+000	 FC5 Qsnout	 15876	 
62.049 	0.000e+000	 FC5 Qsnout	 15876	 
62.149 	0.000e+000	 FC5 Qsnout	 15876	 
62.249 	0.000e+000	 FC5 Qsnout	 15876	 
62.350 	-6.789e-010	 FC5 Qsnout	 48644	 
62.450 	-3.888e-009	 FC5 Qsnout	 48644	 
62.550 	-8.547e-009	 FC5 Qsnout	 48644	 
62.650 	-7.744e-009	 FC5 Qsnout	 48644	 
62.751 	-2.335e-009	 FC5 Qsnout	 48644	 
62.851 	7.326e-012	 FC5 Qsnout	 15876	 
62.951 	0.000e+000	 FC5 Qsnout	 15876	 
63.051 	0.000e+000	 FC5 Qsnout	 15876	 
63.151 	0.000e+000	 FC5 Qsnout	 15876	 
63.252 	0.000e+000	 FC5 Qsnout	 15876	 
63.352 	0.000e+000	 FC5 Qsnout	 15876	 
63.452 	0.000e+000	 FC5 Qsnout	 15876	 
63.552 	-6.740e-010	 FC5 Qsnout	 48644	 
63.653 	-4.049e-009	 FC5 Qsnout	 48644	 
63.753 	-6.090e-009	 FC5 Qsnout	 48644	 
63.853 	-5.705e-009	 FC5 Qsnout	 48644	 
63.953 	-2.403e-009	 FC5 Qsnout	 48644	 
64.053 	0.000e+000	 FC5 Qsnout	 15876	 
64.154 	0.000e+000	 FC5 Qsnout	 15876	 
64.254 	0.000e+000	 FC5 Qsnout	 15876	 
64.354 	0.000e+000	 FC5 Qsnout	 15876	 
64.454 	0.000e+000	 FC5 Qsnout	 15876	 
64.555 	0.000e+000	 FC5 Qsnout	 15876	 
64.655 	-1.519e-009	 FC5 Qsnout	 48644	 
64.755 	9.990e+002	 FC5 Qsnout	 65028	 
64.855 	9.990e+002	 FC5 Qsnout	 64772	 
64.955 	-1.680e-007	 FC5 Qsnout	 48132	 
65.056 	-4.735e-008	 FC5 Qsnout	 48388	 
65.156 	-1.187e-008	 FC5 Qsnout	 48388	 
65.256 	-2.295e-010	 FC5 Qsnout	 48644	 
65.356 	-3.858e-010	 FC5 Qsnout	 48644	 
65.457 	0.000e+000	 FC5 Qsnout	 15876	 
65.557 	0.000e+000	 FC5 Qsnout	 15876	 
65.657 	0.000e+000	 FC5 Qsnout	 15876	 
65.757 	0.000e+000	 FC5 Qsnout	 15876	 
65.857 	-3.150e-010	 FC5 Qsnout	 48644	 
65.958 	-5.040e-009	 FC5 Qsnout	 48644	 
66.058 	-7.966e-009	 FC5 Qsnout	 48644	 
66.158 	-7.712e-009	 FC5 Qsnout	 48644	 
66.258 	-3.785e-009	 FC5 Qsnout	 48644	 
66.359 	-7.863e-010	 FC5 Qsnout	 48644	 
66.459 	4.884e-012	 FC5 Qsnout	 15876	 
66.559 	0.000e+000	 FC5 Qsnout	 15876	 
66.659 	0.000e+000	 FC5 Qsnout	 15876	 
66.759 	0.000e+000	 FC5 Qsnout	 15876	 
66.860 	0.000e+000	 FC5 Qsnout	 15876	 
66.960 	0.000e+000	 FC5 Qsnout	 15876	 
67.060 	-2.545e-009	 FC5 Qsnout	 48644	 
67.160 	-4.613e-009	 FC5 Qsnout	 48644	 
67.261 	-4.940e-009	 FC5 Qsnout	 48644	 
67.361 	-3.260e-009	 FC5 Qsnout	 48644	 
67.461 	-6.447e-010	 FC5 Qsnout	 48644	 
67.561 	0.000e+000	 FC5 Qsnout	 15876	 
67.661 	0.000e+000	 FC5 Qsnout	 15876	 
67.762 	0.000e+000	 FC5 Qsnout	 15876	 
67.862 	0.000e+000	 FC5 Qsnout	 15876	 
67.962 	0.000e+000	 FC5 Qsnout	 15876	 
68.062 	0.000e+000	 FC5 Qsnout	 15876	 
68.163 	-1.858e-009	 FC5 Qsnout	 48644	 
68.263 	-5.353e-009	 FC5 Qsnout	 48644	 
68.363 	-6.752e-009	 FC5 Qsnout	 48644	 
68.463 	-5.995e-009	 FC5 Qsnout	 48644	 
68.563 	-1.578e-009	 FC5 Qsnout	 48644	 
68.664 	-3.272e-010	 FC5 Qsnout	 48644	 
68.764 	0.000e+000	 FC5 Qsnout	 15876	 
68.864 	0.000e+000	 FC5 Qsnout	 15876	 
68.964 	0.000e+000	 FC5 Qsnout	 15876	 
69.065 	0.000e+000	 FC5 Qsnout	 15876	 
69.165 	-1.065e-009	 FC5 Qsnout	 48644	 
69.265 	9.990e+002	 FC5 Qsnout	 65028	 
69.365 	9.990e+002	 FC5 Qsnout	 64772	 
69.465 	-2.344e-007	 FC5 Qsnout	 48132	 
69.566 	-1.416e-007	 FC5 Qsnout	 48132	 
69.666 	-5.031e-008	 FC5 Qsnout	 48132	 
69.766 	-9.133e-009	 FC5 Qsnout	 48388	 
69.866 	0.000e+000	 FC5 Qsnout	 15876	 
69.967 	0.000e+000	 FC5 Qsnout	 15876	 
70.067 	0.000e+000	 FC5 Qsnout	 15876	 
70.167 	0.000e+000	 FC5 Qsnout	 15876	 
70.267 	0.000e+000	 FC5 Qsnout	 15876	 
70.367 	-1.661e-010	 FC5 Qsnout	 48644	 
70.468 	-1.570e-009	 FC5 Qsnout	 48644	 
70.568 	-2.772e-009	 FC5 Qsnout	 48644	 
70.668 	-2.628e-009	 FC5 Qsnout	 48644	 
70.768 	-1.302e-009	 FC5 Qsnout	 48644	 
70.869 	3.712e-010	 FC5 Qsnout	 15876	 
