TRACING ASCII File
Created by MP-OS program
COMMENT
 
HEADER
Start at: 	16-12-21 10:43 AM
Timebase: 	1 sec.
Operator: 	BI                  90° Magnet
Operator units: 	A
Monitor1: 	Current Converter
Monitor1 units: 	A
 
 
 
 
 
 
 
 
DATA
O setting 	M1 reading 	Cur Conv Target 	Cur Conv Settings 	
50.423 	0.000e+000	 FC5 Qsnout	 13060	 
50.523 	0.000e+000	 FC5 Qsnout	 13060	 
50.624 	0.000e+000	 FC5 Qsnout	 13060	 
50.724 	0.000e+000	 FC5 Qsnout	 13060	 
50.824 	0.000e+000	 FC5 Qsnout	 13060	 
50.924 	0.000e+000	 FC5 Qsnout	 13060	 
51.025 	0.000e+000	 FC5 Qsnout	 13060	 
51.125 	0.000e+000	 FC5 Qsnout	 13060	 
51.225 	0.000e+000	 FC5 Qsnout	 13060	 
51.325 	0.000e+000	 FC5 Qsnout	 13060	 
51.425 	0.000e+000	 FC5 Qsnout	 13060	 
51.526 	0.000e+000	 FC5 Qsnout	 13060	 
51.626 	0.000e+000	 FC5 Qsnout	 13060	 
51.726 	0.000e+000	 FC5 Qsnout	 13060	 
51.826 	0.000e+000	 FC5 Qsnout	 13060	 
51.927 	0.000e+000	 FC5 Qsnout	 13060	 
52.027 	0.000e+000	 FC5 Qsnout	 13060	 
52.127 	0.000e+000	 FC5 Qsnout	 13060	 
52.227 	0.000e+000	 FC5 Qsnout	 13060	 
52.327 	0.000e+000	 FC5 Qsnout	 13060	 
52.428 	0.000e+000	 FC5 Qsnout	 13060	 
52.528 	0.000e+000	 FC5 Qsnout	 13060	 
52.628 	0.000e+000	 FC5 Qsnout	 13060	 
52.728 	0.000e+000	 FC5 Qsnout	 13060	 
52.829 	0.000e+000	 FC5 Qsnout	 13060	 
52.929 	0.000e+000	 FC5 Qsnout	 13060	 
53.029 	0.000e+000	 FC5 Qsnout	 13060	 
53.129 	0.000e+000	 FC5 Qsnout	 13060	 
53.229 	0.000e+000	 FC5 Qsnout	 13060	 
53.330 	0.000e+000	 FC5 Qsnout	 13060	 
53.430 	0.000e+000	 FC5 Qsnout	 13060	 
53.530 	0.000e+000	 FC5 Qsnout	 13060	 
53.630 	0.000e+000	 FC5 Qsnout	 13060	 
53.731 	0.000e+000	 FC5 Qsnout	 13060	 
53.831 	0.000e+000	 FC5 Qsnout	 13060	 
53.931 	0.000e+000	 FC5 Qsnout	 13060	 
54.031 	0.000e+000	 FC5 Qsnout	 13060	 
54.131 	0.000e+000	 FC5 Qsnout	 13060	 
