TRACING ASCII File
Created by MP-OS program
COMMENT
 
HEADER
Start at: 	16-12-21 11:13 AM
Timebase: 	1 sec.
Operator: 	BI                  90° Magnet
Operator units: 	A
Monitor1: 	Current Converter
Monitor1 units: 	A
 
 
 
 
 
 
 
 
DATA
O setting 	M1 reading 	Cur Conv Target 	Cur Conv Settings 	
50.323 	-8.107e-010	 FC5 Qsnout	 48644	 
50.423 	9.990e+002	 FC5 Qsnout	 65028	 
50.523 	-9.741e-008	 FC5 Qsnout	 48388	 
50.624 	-1.031e-007	 FC5 Qsnout	 48132	 
50.724 	-3.956e-008	 FC5 Qsnout	 48132	 
50.824 	6.349e-010	 FC5 Qsnout	 15620	 
50.924 	0.000e+000	 FC5 Qsnout	 15620	 
51.025 	0.000e+000	 FC5 Qsnout	 15876	 
51.125 	0.000e+000	 FC5 Qsnout	 15876	 
51.225 	0.000e+000	 FC5 Qsnout	 15876	 
51.325 	0.000e+000	 FC5 Qsnout	 15876	 
51.425 	0.000e+000	 FC5 Qsnout	 15876	 
51.526 	0.000e+000	 FC5 Qsnout	 15876	 
51.626 	0.000e+000	 FC5 Qsnout	 15876	 
51.726 	0.000e+000	 FC5 Qsnout	 15876	 
51.826 	-3.214e-009	 FC5 Qsnout	 48644	 
51.927 	9.990e+002	 FC5 Qsnout	 65028	 
52.027 	-7.206e-008	 FC5 Qsnout	 48388	 
52.127 	-5.348e-008	 FC5 Qsnout	 48388	 
52.227 	-8.230e-009	 FC5 Qsnout	 48388	 
52.327 	-2.344e-010	 FC5 Qsnout	 48644	 
52.428 	0.000e+000	 FC5 Qsnout	 15876	 
52.528 	0.000e+000	 FC5 Qsnout	 15876	 
52.628 	0.000e+000	 FC5 Qsnout	 15876	 
52.728 	0.000e+000	 FC5 Qsnout	 15876	 
52.829 	0.000e+000	 FC5 Qsnout	 15876	 
52.929 	0.000e+000	 FC5 Qsnout	 15876	 
53.029 	0.000e+000	 FC5 Qsnout	 15876	 
53.129 	0.000e+000	 FC5 Qsnout	 15876	 
53.229 	0.000e+000	 FC5 Qsnout	 15876	 
53.330 	-1.150e-009	 FC5 Qsnout	 48644	 
53.430 	-3.346e-009	 FC5 Qsnout	 48644	 
53.530 	-3.595e-009	 FC5 Qsnout	 48644	 
53.630 	-9.451e-010	 FC5 Qsnout	 48644	 
53.731 	0.000e+000	 FC5 Qsnout	 15876	 
53.831 	0.000e+000	 FC5 Qsnout	 15876	 
53.931 	0.000e+000	 FC5 Qsnout	 15876	 
54.031 	0.000e+000	 FC5 Qsnout	 15876	 
54.131 	0.000e+000	 FC5 Qsnout	 15876	 
54.232 	0.000e+000	 FC5 Qsnout	 15876	 
54.332 	0.000e+000	 FC5 Qsnout	 15876	 
54.432 	2.442e-012	 FC5 Qsnout	 15876	 
54.532 	2.442e-012	 FC5 Qsnout	 15876	 
54.633 	4.884e-012	 FC5 Qsnout	 15876	 
54.733 	7.326e-012	 FC5 Qsnout	 15876	 
54.833 	7.326e-012	 FC5 Qsnout	 15876	 
54.933 	9.768e-012	 FC5 Qsnout	 15876	 
55.033 	9.768e-012	 FC5 Qsnout	 15876	 
55.134 	9.768e-012	 FC5 Qsnout	 15876	 
55.234 	9.768e-012	 FC5 Qsnout	 15876	 
55.334 	9.768e-012	 FC5 Qsnout	 15876	 
55.434 	4.884e-012	 FC5 Qsnout	 15876	 
55.535 	4.884e-012	 FC5 Qsnout	 15876	 
55.635 	0.000e+000	 FC5 Qsnout	 15876	 
55.735 	0.000e+000	 FC5 Qsnout	 15876	 
55.835 	0.000e+000	 FC5 Qsnout	 15876	 
55.935 	0.000e+000	 FC5 Qsnout	 15876	 
56.036 	-3.272e-010	 FC5 Qsnout	 48644	 
56.136 	-4.286e-009	 FC5 Qsnout	 48644	 
56.236 	-5.651e-009	 FC5 Qsnout	 48644	 
56.336 	-4.293e-009	 FC5 Qsnout	 48644	 
56.437 	-1.827e-009	 FC5 Qsnout	 48644	 
56.537 	0.000e+000	 FC5 Qsnout	 15876	 
56.637 	0.000e+000	 FC5 Qsnout	 15876	 
56.737 	0.000e+000	 FC5 Qsnout	 15876	 
56.837 	0.000e+000	 FC5 Qsnout	 15876	 
56.938 	0.000e+000	 FC5 Qsnout	 15876	 
57.038 	0.000e+000	 FC5 Qsnout	 15876	 
57.138 	0.000e+000	 FC5 Qsnout	 15876	 
57.238 	0.000e+000	 FC5 Qsnout	 15876	 
57.339 	0.000e+000	 FC5 Qsnout	 15876	 
57.439 	0.000e+000	 FC5 Qsnout	 15876	 
57.539 	0.000e+000	 FC5 Qsnout	 15876	 
57.639 	0.000e+000	 FC5 Qsnout	 15876	 
57.739 	0.000e+000	 FC5 Qsnout	 15876	 
57.840 	0.000e+000	 FC5 Qsnout	 15876	 
57.940 	0.000e+000	 FC5 Qsnout	 15876	 
58.040 	0.000e+000	 FC5 Qsnout	 15876	 
58.140 	0.000e+000	 FC5 Qsnout	 15876	 
58.241 	0.000e+000	 FC5 Qsnout	 15876	 
58.341 	0.000e+000	 FC5 Qsnout	 15876	 
58.441 	0.000e+000	 FC5 Qsnout	 15876	 
58.541 	0.000e+000	 FC5 Qsnout	 15876	 
58.641 	0.000e+000	 FC5 Qsnout	 15876	 
58.742 	-3.468e-010	 FC5 Qsnout	 48644	 
58.842 	-5.421e-010	 FC5 Qsnout	 48644	 
58.942 	-5.324e-010	 FC5 Qsnout	 48644	 
59.042 	0.000e+000	 FC5 Qsnout	 15876	 
59.143 	0.000e+000	 FC5 Qsnout	 15876	 
59.243 	0.000e+000	 FC5 Qsnout	 15876	 
59.343 	0.000e+000	 FC5 Qsnout	 15876	 
59.443 	0.000e+000	 FC5 Qsnout	 15876	 
59.543 	0.000e+000	 FC5 Qsnout	 15876	 
59.644 	0.000e+000	 FC5 Qsnout	 15876	 
59.744 	0.000e+000	 FC5 Qsnout	 15876	 
59.844 	-7.685e-009	 FC5 Qsnout	 48644	 
59.944 	9.990e+002	 FC5 Qsnout	 64772	 
60.045 	-3.726e-007	 FC5 Qsnout	 48132	 
60.145 	-3.150e-007	 FC5 Qsnout	 48132	 
60.245 	-1.060e-007	 FC5 Qsnout	 48132	 
60.345 	-5.226e-009	 FC5 Qsnout	 48388	 
60.445 	0.000e+000	 FC5 Qsnout	 15876	 
60.546 	0.000e+000	 FC5 Qsnout	 15876	 
60.646 	0.000e+000	 FC5 Qsnout	 15876	 
60.746 	0.000e+000	 FC5 Qsnout	 15876	 
60.846 	0.000e+000	 FC5 Qsnout	 15876	 
60.947 	0.000e+000	 FC5 Qsnout	 15876	 
61.047 	-5.993e-009	 FC5 Qsnout	 48644	 
61.147 	9.990e+002	 FC5 Qsnout	 65028	 
61.247 	9.990e+002	 FC5 Qsnout	 64772	 
61.347 	9.990e+002	 FC5 Qsnout	 64516	 
61.448 	9.990e+002	 FC5 Qsnout	 64516	 
61.548 	-6.154e-007	 FC5 Qsnout	 47876	 
61.648 	1.197e-007	 FC5 Qsnout	 15108	 
61.748 	0.000e+000	 FC5 Qsnout	 15364	 
61.849 	0.000e+000	 FC5 Qsnout	 15364	 
61.949 	0.000e+000	 FC5 Qsnout	 15620	 
62.049 	0.000e+000	 FC5 Qsnout	 15876	 
62.149 	0.000e+000	 FC5 Qsnout	 15876	 
62.249 	0.000e+000	 FC5 Qsnout	 15876	 
62.350 	-7.766e-010	 FC5 Qsnout	 48644	 
62.450 	-7.648e-009	 FC5 Qsnout	 48644	 
62.550 	9.990e+002	 FC5 Qsnout	 65028	 
62.650 	-1.123e-008	 FC5 Qsnout	 48388	 
62.751 	-6.789e-010	 FC5 Qsnout	 48644	 
62.851 	7.326e-012	 FC5 Qsnout	 15876	 
62.951 	0.000e+000	 FC5 Qsnout	 15876	 
63.051 	0.000e+000	 FC5 Qsnout	 15876	 
63.151 	0.000e+000	 FC5 Qsnout	 15876	 
63.252 	0.000e+000	 FC5 Qsnout	 15876	 
63.352 	0.000e+000	 FC5 Qsnout	 15876	 
63.452 	0.000e+000	 FC5 Qsnout	 15876	 
63.552 	-8.962e-010	 FC5 Qsnout	 48644	 
63.653 	-4.952e-009	 FC5 Qsnout	 48644	 
63.753 	-6.676e-009	 FC5 Qsnout	 48644	 
63.853 	-6.208e-009	 FC5 Qsnout	 48644	 
63.953 	-3.258e-009	 FC5 Qsnout	 48644	 
64.053 	0.000e+000	 FC5 Qsnout	 15876	 
64.154 	0.000e+000	 FC5 Qsnout	 15876	 
64.254 	0.000e+000	 FC5 Qsnout	 15876	 
64.354 	0.000e+000	 FC5 Qsnout	 15876	 
64.454 	0.000e+000	 FC5 Qsnout	 15876	 
64.555 	0.000e+000	 FC5 Qsnout	 15876	 
64.655 	-1.968e-009	 FC5 Qsnout	 48644	 
64.755 	9.990e+002	 FC5 Qsnout	 64772	 
64.855 	9.990e+002	 FC5 Qsnout	 64516	 
64.955 	-3.245e-007	 FC5 Qsnout	 48132	 
65.056 	-1.836e-007	 FC5 Qsnout	 48132	 
65.156 	-1.768e-008	 FC5 Qsnout	 48388	 
65.256 	-9.060e-009	 FC5 Qsnout	 48388	 
65.356 	-4.249e-010	 FC5 Qsnout	 48644	 
65.457 	1.465e-010	 FC5 Qsnout	 15876	 
65.557 	0.000e+000	 FC5 Qsnout	 15876	 
65.657 	0.000e+000	 FC5 Qsnout	 15876	 
65.757 	0.000e+000	 FC5 Qsnout	 15876	 
65.857 	-7.961e-010	 FC5 Qsnout	 48644	 
65.958 	9.990e+002	 FC5 Qsnout	 65028	 
66.058 	-2.032e-008	 FC5 Qsnout	 48388	 
66.158 	-1.770e-008	 FC5 Qsnout	 48388	 
66.258 	-6.838e-009	 FC5 Qsnout	 48388	 
66.359 	-5.714e-010	 FC5 Qsnout	 48644	 
66.459 	8.303e-011	 FC5 Qsnout	 15876	 
66.559 	0.000e+000	 FC5 Qsnout	 15876	 
66.659 	0.000e+000	 FC5 Qsnout	 15876	 
